epoch,accuracy,loss,val_accuracy,val_loss
0,0.8860850930213928,0.39212512969970703,0.9253246784210205,0.27192920446395874
1,0.9495313763618469,0.16326192021369934,0.9372294545173645,0.21500948071479797
2,0.9506128430366516,0.14009329676628113,0.951298713684082,0.13663151860237122
3,0.9689978361129761,0.0926186740398407,0.9437229633331299,0.1289949119091034
4,0.9758471250534058,0.06820739805698395,0.9534631967544556,0.12509267032146454
5,0.9798125624656677,0.059755273163318634,0.9794372320175171,0.12487052381038666
6,0.9841384291648865,0.04306374117732048,0.9718614816665649,0.1474248766899109
7,0.9899062514305115,0.03580080345273018,0.976190447807312,0.12365347892045975
8,0.9859408736228943,0.05005854368209839,0.9772727489471436,0.13269273936748505
9,0.9920691847801208,0.0261179581284523,0.9772727489471436,0.09708212316036224
10,0.9963951110839844,0.011199221014976501,0.9783549904823303,0.15566052496433258
11,0.9891852736473083,0.04369010403752327,0.9642857313156128,0.13578718900680542
12,0.9953136444091797,0.016134249046444893,0.9783549904823303,0.13539959490299225
13,0.9931507110595703,0.02274409867823124,0.9816017150878906,0.11324571818113327
14,0.9927902221679688,0.01805592142045498,0.9610389471054077,0.19571290910243988
15,0.9881038069725037,0.04349765554070473,0.9783549904823303,0.11977279186248779
16,0.9971160888671875,0.009910515509545803,0.9816017150878906,0.13199269771575928
17,0.9881038069725037,0.049993861466646194,0.9448052048683167,0.3755926191806793
18,0.9935111999511719,0.025318363681435585,0.9707792401313782,0.17961743474006653
19,0.9909877181053162,0.031283989548683167,0.976190447807312,0.15362872183322906
